date,time,temperature,visibility,pressure,humidity,gusts_wind,wind_speed,wind_dir,total_cloud,low_cloud,medium_cloud,high_cloud,sort_prep
2023-07-14,4,13.194482421875025,100.0069790802002,4.0,6.0,2.158948600292206,1.7617536734460717,NE,2.0,2.0,1.0,0.0,0.0
2023-07-14,5,13.468408203125025,99.98366423034668,4.0,6.0,2.671875,1.7893874580310205,NE,1.0,1.0,0.0,0.0,0.0
2023-07-14,6,14.978417968750025,89.44257595825195,4.0,5.0,3.468249127268791,1.6280060638249485,NE,0.0,0.0,0.0,0.0,0.0
2023-07-14,7,15.749658203125025,83.8108837890625,4.0,5.0,4.878811955451965,2.5837045751047536,NE,2.0,2.0,0.0,0.0,0.0
2023-07-14,8,15.843408203125025,79.91827180480956,4.0,5.0,5.177719533443451,2.8462367392669656,NE,8.0,8.0,0.0,0.0,0.0
2023-07-14,9,15.949121093750025,81.09648364257812,4.0,5.0,5.5703125,2.9537794304610965,NE,8.0,8.0,0.0,0.0,0.0
2023-07-14,10,16.748925781250023,78.88799951171875,4.0,4.0,5.546875,2.57241901014461,NE,8.0,8.0,0.0,0.0,0.0
2023-07-14,11,17.499414062500023,80.38088500976562,4.0,4.0,5.233886241912842,3.218539586209518,NE,6.0,6.0,0.0,0.0,0.0
2023-07-14,12,19.155175781250023,81.76042602539063,4.0,4.0,6.542629957199097,3.091040158592393,NE,4.0,4.0,0.0,0.0,0.0
2023-07-14,13,20.647607421875023,81.97827416992187,4.0,3.0,5.598946571350098,3.182734910761667,E,1.0,1.0,0.0,0.0,0.0
2023-07-14,14,21.427880859375023,72.52132104492188,4.0,3.0,6.613337781280279,3.525958823812505,E,0.0,0.0,0.0,0.0,0.0
2023-07-14,15,22.379052734375023,85.51084350585937,4.0,2.0,7.916859865188599,3.748943053378971,E,1.0,1.0,1.0,0.0,0.0
2023-07-14,16,22.737695312500023,86.72799951171875,4.0,2.0,7.8125,3.618212896518968,E,0.0,0.0,0.0,0.0,0.0
2023-07-14,17,22.576806640625023,83.05336450195313,4.0,2.0,7.136129260063171,3.866750302888451,E,1.0,1.0,1.0,0.0,0.0
2023-07-14,18,22.141015625000023,84.19936352539062,4.0,2.0,7.535882711410522,3.4063494305460864,E,0.0,0.0,0.0,0.0,0.0
2023-07-14,19,21.329736328125023,86.68075170898437,4.0,2.0,6.528676439076662,3.269280837763482,E,0.0,0.0,0.0,0.0,0.0
2023-07-14,20,20.687890625000023,86.98769067382813,4.0,2.0,6.2269638776779175,2.755365644875612,E,0.0,0.0,0.0,0.0,0.0
2023-07-14,21,19.365136718750023,88.23199951171875,4.0,3.0,5.004909478127956,2.089314268856816,NE,0.0,0.0,0.0,0.0,0.0
2023-07-14,22,17.746972656250023,89.03199951171875,4.0,3.0,3.464555822312832,2.080105489557492,NE,2.0,2.0,2.0,0.0,0.0
2023-07-14,23,16.641748046875023,92.188689453125,4.0,4.0,2.224127922207117,1.7664845932092514,NE,0.0,0.0,0.0,0.0,0.0
2023-07-15,0,15.814843750000025,94.25851992797853,4.0,4.0,2.1940044201910496,1.9970007834062609,NE,0.0,0.0,0.0,0.0,0.0
2023-07-15,1,14.780908203125025,93.55189527893066,4.0,5.0,2.609375,1.780388014597894,NE,0.0,0.0,0.0,0.0,0.0
2023-07-15,2,13.359765625000025,92.63038177490236,4.0,5.0,2.1015625,1.45376232783752,NE,0.0,0.0,0.0,0.0,0.0
2023-07-15,3,12.520898437500025,96.21651411437988,4.0,6.0,2.24876406043768,1.6416152855946302,NE,0.0,0.0,0.0,0.0,0.0
2023-07-15,4,11.906396484375025,97.10334167480468,4.0,6.0,2.2728294879198074,1.2922827271097097,NE,0.0,0.0,0.0,0.0,0.0
2023-07-15,5,12.392236328125025,93.74196649169922,4.0,6.0,1.9296875,1.2655900832106424,NE,0.0,0.0,0.0,0.0,0.0
2023-07-15,6,14.463281250000025,86.13227221679688,4.0,5.0,2.414990808814764,1.1692709883287429,NE,4.0,3.0,0.0,0.0,0.0
2023-07-15,7,15.918359375000025,86.17664233398438,4.0,5.0,2.851868689060211,1.952257629709336,NE,0.0,0.0,0.0,0.0,0.0
2023-07-15,8,17.184960937500023,84.09551977539063,4.0,4.0,4.118178069591522,2.1037971534907616,NE,6.0,6.0,6.0,6.0,0.0
2023-07-15,9,17.665673828125023,86.91999951171876,4.0,4.0,4.024657249450684,2.5764294975939377,NE,8.0,8.0,8.0,8.0,0.0
2023-07-15,10,19.172265625000023,83.3679580078125,4.0,3.0,4.121848702430725,2.932735628989082,NE,6.0,0.0,6.0,6.0,0.0
2023-07-15,11,19.172265625000023,78.753669921875,4.0,3.0,5.667444407939911,2.9161071630421778,NE,8.0,0.0,8.0,8.0,0.0
2023-07-15,12,20.235009765625023,80.84472412109375,4.0,3.0,5.147098124027252,2.704425390319612,NE,7.0,0.0,7.0,7.0,0.0
2023-07-15,13,20.770654296875023,83.97599951171875,4.0,2.0,4.880707263946533,3.001466696065336,NE,8.0,0.0,8.0,8.0,0.0
2023-07-15,14,21.707421875000023,83.77430078125,4.0,2.0,6.176255464553833,3.3484413454890234,NE,4.0,0.0,4.0,0.0,0.0
2023-07-15,15,22.412255859375023,85.75158715820312,4.0,2.0,6.074479401111603,2.8072207711412247,NE,3.0,0.0,3.0,0.0,0.0
2023-07-15,16,23.034814453125023,78.8813193359375,4.0,2.0,4.74316930770874,2.482123875883629,NE,3.0,0.0,2.0,0.0,0.0
2023-07-15,17,22.903222656250023,82.2944228515625,4.0,2.0,5.65394476428628,2.4395222067357247,NE,2.0,0.0,2.0,2.0,0.0
2023-07-15,18,22.333398437500023,83.66591333007813,4.0,2.0,5.367753982543945,3.517317868848221,N,7.0,0.0,7.0,7.0,0.0
2023-07-15,19,21.566064453125023,86.02341162109374,4.0,2.0,4.685052752494812,3.670179459266957,N,6.0,0.0,6.0,6.0,0.0
2023-07-15,20,20.150292968750023,86.68713354492188,4.0,2.0,5.449754238128662,3.133231871587501,N,6.0,0.0,6.0,5.0,0.0
2023-07-15,21,19.486474609375023,86.87723657226563,4.0,3.0,5.380309224128723,2.582041333662205,NW,7.0,0.0,6.0,6.0,0.0
2023-07-15,22,18.394921875000023,86.03156665039063,4.0,3.0,3.6875,3.5321217486141534,NW,7.0,0.0,7.0,7.0,0.0
2023-07-15,23,17.972314453125023,88.38338452148437,4.0,4.0,4.202736914157867,3.056033851918761,NW,8.0,0.0,8.0,8.0,0.0
2023-07-16,0,16.914453125000023,89.14603100585937,4.0,4.0,3.241572052240372,2.886243698657096,NW,8.0,0.0,8.0,8.0,0.0
2023-07-16,1,16.254296875000023,89.9283992767334,4.0,5.0,3.779043614864349,3.134447266056391,NW,5.0,5.0,5.0,5.0,0.0
2023-07-16,2,16.446435546875023,94.948,4.0,4.0,3.755681037902832,3.160855363778673,NW,3.0,0.0,4.0,4.0,0.0
2023-07-16,3,16.687402343750023,95.012,4.0,4.0,4.4140625,4.1019438254082665,NW,6.0,0.0,6.0,6.0,0.0
2023-07-16,4,17.447656250000023,86.61170770263672,4.0,4.0,6.319238744676113,3.8991813518201353,NW,8.0,0.0,8.0,8.0,0.0
2023-07-16,5,18.077783203125023,82.66,4.0,4.0,6.196780279278755,4.5328683508803485,NW,8.0,0.0,8.0,8.0,0.0
2023-07-16,6,16.865625000000023,53.41672866821289,4.0,5.0,6.286293029785156,5.352601761185591,NW,8.0,0.0,8.0,8.0,3.0
2023-07-16,7,16.238183593750023,84.964,4.0,6.0,5.2265625,5.1920946875948975,NW,7.0,7.0,7.0,7.0,3.0
2023-07-16,8,18.002099609375023,83.588,4.0,5.0,7.828247606754303,5.345605570598724,NW,5.0,0.0,5.0,5.0,0.0
2023-07-16,9,18.930566406250023,80.13579629516602,4.0,5.0,8.015625,4.638477976816971,NW,8.0,0.0,8.0,8.0,0.0
2023-07-16,10,19.159326171875023,88.89634188842773,4.0,5.0,5.906366348266602,4.408873706588215,N,8.0,8.0,8.0,8.0,0.0
2023-07-16,11,19.497216796875023,48.55146118164063,4.0,5.0,7.2755537033081055,5.178237995692764,N,8.0,8.0,8.0,8.0,0.0
2023-07-16,12,17.314599609375023,5.59234521484375,4.0,6.0,6.904102325439453,2.971329504886334,NE,8.0,8.0,8.0,8.0,3.0
2023-07-16,13,17.007226562500023,22.63799072265625,4.0,6.0,4.766185402870178,2.390351192438681,N,8.0,8.0,8.0,8.0,3.0
2023-07-16,14,17.976708984375023,82.99468334960937,4.0,6.0,4.063334465026856,3.3461270890286907,N,7.0,0.0,7.0,7.0,3.0
2023-07-16,15,19.416650390625023,83.55564184570312,4.0,5.0,7.496752738952637,4.489732739141849,N,7.0,7.0,2.0,0.0,0.0
2023-07-16,16,20.871728515625023,85.08961596679687,4.0,4.0,8.10338020324707,3.6143027524112328,NE,4.0,4.0,0.0,0.0,0.0
2023-07-16,17,21.176904296875023,88.73340966796874,4.0,4.0,7.057323455810547,3.9647230949742274,N,1.0,1.0,0.0,0.0,0.0
2023-07-16,18,21.500878906250023,85.96990844726562,4.0,3.0,7.165202736854553,4.299599631174187,N,5.0,5.0,0.0,0.0,0.0
2023-07-16,19,20.665917968750023,81.19199951171875,4.0,5.0,8.099154949188232,4.143191622183329,N,7.0,7.0,7.0,0.0,0.0
2023-07-16,20,19.737451171875023,79.38430151367187,4.0,5.0,5.519381374120712,3.5786205253928016,N,8.0,0.0,8.0,0.0,0.0
2023-07-16,21,19.176660156250023,86.82399951171875,4.0,5.0,4.711724802851677,2.056375607090276,N,0.0,0.0,0.0,0.0,0.0
2023-07-16,22,17.624414062500023,89.73599951171875,4.0,5.0,2.177507519721985,1.3668233018439833,N,3.0,4.0,0.0,0.0,0.0
2023-07-16,23,17.088281250000023,94.075822265625,4.0,5.0,3.5723933577537537,2.5658228003441548,N,1.0,2.0,0.0,0.0,0.0
2023-07-17,0,17.006494140625023,90.8584931640625,4.0,5.0,4.3046875,3.082983665987644,N,0.0,1.0,0.0,0.0,0.0
